Instance Size n,Elapsed Time
1,2.36e-06
1,1.219e-06
1,8.82e-07
2,1.014e-06
2,8.73e-07
2,8.5e-07
3,1.053e-06
3,1.161e-06
3,8.86e-07
4,1.01e-06
4,3.198e-06
4,1.121e-06
5,1.104e-06
5,1.117e-06
5,1.433e-06
6,1.192e-06
6,1.09e-06
6,1.03e-06
7,1.406e-06
7,1.143e-06
7,1.133e-06
8,1.55e-06
8,2.364e-06
8,2.339e-06
9,2.712e-06
9,2.287e-06
9,2.304e-06
10,2.389e-06
10,2.336e-06
10,2.694e-06
11,2.286e-06
11,2.762e-06
11,2.575e-06
12,2.851e-06
12,2.972e-06
12,3.1e-06
13,3.28e-06
13,3.328e-06
13,3.424e-06
14,3.493e-06
14,3.507e-06
14,3.513e-06
15,3.401e-06
15,3.7e-06
15,3.233e-06
16,3.827e-06
16,3.582e-06
16,3.664e-06
17,4.804e-06
17,3.881e-06
17,3.717e-06
18,4.296e-06
18,4.042e-06
18,4.017e-06
19,4.547e-06
19,4.325e-06
19,4.288e-06
20,4.268e-06
20,5.077e-06
20,4.293e-06
21,4.616e-06
21,4.886e-06
21,4.84e-06
22,5.233e-06
22,5.014e-06
22,4.879e-06
23,5.214e-06
23,5.445e-06
23,5.498e-06
24,5.653e-06
24,5.499e-06
24,5.506e-06
25,5.891e-06
25,5.694e-06
25,5.947e-06
26,6.22e-06
26,6.034e-06
26,6.568e-06
